ID,burn_area
0_2014-01-01,0.019926448386682668
1_2014-01-01,0.0015218185788104402
2_2014-01-01,0.0
3_2014-01-01,0.00012295126428856
4_2014-01-01,0.0
5_2014-01-01,0.0
6_2014-01-01,0.0
7_2014-01-01,0.0
8_2014-01-01,0.0
9_2014-01-01,0.0
10_2014-01-01,0.0
11_2014-01-01,0.0
12_2014-01-01,0.0
13_2014-01-01,0.0
14_2014-01-01,0.0
15_2014-01-01,0.0
16_2014-01-01,0.0
17_2014-01-01,0.0
18_2014-01-01,0.0
19_2014-01-01,0.0
20_2014-01-01,0.0
21_2014-01-01,0.0
22_2014-01-01,0.0
23_2014-01-01,0.0
24_2014-01-01,0.0
25_2014-01-01,0.0
26_2014-01-01,0.0
27_2014-01-01,3.073781607214e-05
28_2014-01-01,0.0
29_2014-01-01,0.0
30_2014-01-01,0.0
31_2014-01-01,0.0
32_2014-01-01,0.0
33_2014-01-01,0.0
34_2014-01-01,0.0
35_2014-01-01,0.0
36_2014-01-01,0.0
37_2014-01-01,0.0
38_2014-01-01,0.0
39_2014-01-01,0.0
40_2014-01-01,0.0
41_2014-01-01,0.0
42_2014-01-01,0.0
43_2014-01-01,0.0
44_2014-01-01,0.0
45_2014-01-01,0.0
46_2014-01-01,0.0
47_2014-01-01,0.0
48_2014-01-01,0.0
49_2014-01-01,0.0
50_2014-01-01,0.0
51_2014-01-01,0.0
52_2014-01-01,0.0
53_2014-01-01,0.0
54_2014-01-01,0.0
55_2014-01-01,0.0
56_2014-01-01,0.0
57_2014-01-01,0.0
58_2014-01-01,0.0
59_2014-01-01,0.0
60_2014-01-01,0.0
61_2014-01-01,0.0
62_2014-01-01,0.0
63_2014-01-01,0.00034089326747911
64_2014-01-01,0.0
65_2014-01-01,3.073781607214e-05
66_2014-01-01,0.0
67_2014-01-01,0.0
68_2014-01-01,0.0
69_2014-01-01,0.0
70_2014-01-01,0.0
71_2014-01-01,0.0
72_2014-01-01,0.0
73_2014-01-01,0.0
74_2014-01-01,0.0
75_2014-01-01,0.0
76_2014-01-01,0.0
77_2014-01-01,0.0
78_2014-01-01,0.0
